category,description,ilosc,image_url,name,price
Inne/Terrarystyka,Płaska miska do terrarium.,74,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-MISKA-PŁASKA.jpg,HOBBY MISKA PŁASKA M,"28,81"
Inne/Terrarystyka,Magazynuje wodę przez kilka tygodni. Szczególnie nadaje się do pajęczaków i owadów paszowych.,55,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/REPTIX-AQUA-GEL.jpg,HOBBY REPTIX AQUA GEL,"26,17"
Inne/Terrarystyka,Mata grzewcza Thermica Premium.,29,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/hobby-mata-grzewcza.jpg,hobby mata grzewcza 20w,"207,82"
Inne/Terrarystyka,Mata grzewcza Thermica Premium.,52,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/hobby-mata-grzewcza.jpg,hobby mata grzewcza 30w,"236,90"
Inne/Terrarystyka,Neodymowa lampa grzewcza eco do terrarium.,75,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-NEODYMOWE-DAYLIGHT-ECO (2).jpg,HOBBY NEODYMOWA LAMPA GRZEWCZA daylight eco 42W,"66,25"
Inne/Terrarystyka,Neodymowa lampa grzewcza eco do terrarium.,56,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-NEODYMOWE-DAYLIGHT-ECO (2).jpg,HOBBY NEODYMOWA LAMPA GRZEWCZA daylight eco 70W,"98,42"
Inne/Terrarystyka,Neodymowa lampa grzewcza eco do terrarium.,10,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-NEODYMOWE-DAYLIGHT-ECO (2).jpg,HOBBY NEODYMOWA LAMPA GRZEWCZA daylight eco 108W,"102,83"
Inne/Terrarystyka,Halogenowa lampa grzewcza.,93,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76014_VP_2.jpg,TRIXIE HEATSPOT PRO HALOGENOWA LAMPA GRZEWCZA 75W,"75,77"
Inne/Terrarystyka,Halogenowa lampa grzewcza.,29,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76012_VP_2.jpg,TRIXIE HEATSPOT PRO HALOGENOWA LAMPA GRZEWCZA 35W,"37,64"
Inne/Terrarystyka,Halogenowa lampa grzewcza.,57,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76013_VP_2.jpg,TRIXIE HEATSPOT PRO HALOGENOWA LAMPA GRZEWCZA 50W,"66,24"
Inne/Terrarystyka,Czerwona punktowa lampa grzewcza.,52,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76097.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA CZERWONA 150W,"43,90"
Inne/Terrarystyka,Neodymowa lampa grzewcza.,78,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76008.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA NEODYMOWA 100W,"43,90"
Inne/Terrarystyka,Neodymowa lampa grzewcza.,46,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76006_VP.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA NEODYMOWA 50W,"31,22"
Inne/Terrarystyka,Punktowa lampa grzewcza do terrarium.,38,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/trixie-lampa-grzewcza-35-150-76000-76004.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA 50W,"19,40"
Inne/Terrarystyka,Punktowa lampa grzewcza do terrarium.,81,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/trixie-lampa-grzewcza-35-150-76000-76004.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA 75W,"19,40"
Inne/Terrarystyka,Punktowa lampa grzewcza do terrarium.,76,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/trixie-lampa-grzewcza-35-150-76000-76004.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA 100W,"23,32"
Inne/Terrarystyka,Punktowa lampa grzewcza do terrarium.,46,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/trixie-lampa-grzewcza-35-150-76000-76004.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA 150W,"31,22"
Inne/Terrarystyka,Podłoże do terrarium chipsy kokosowe.,53,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/aqua-szut-podloze-terra-coco-chipsy-5l.jpg,aqua szut terracoco chipsy,"29,54"
Inne/Terrarystyka,Przewód grzewczy do terrarium.,97,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/aqua-szut-przewod-grzejny-do-terarium-15w.jpg,AQUA SZUT TERRAHOT 50W/5M,"131,97"
Inne/Terrarystyka,Przewód grzewczy do terrarium.,92,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/aqua-szut-przewod-grzejny-do-terarium-15w.jpg,aqua szut Terrahot 15w/5M,"104,66"
Inne/Terrarystyka,Przewód grzewczy do terrarium.,19,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/aqua-szut-przewod-grzejny-do-terarium-15w.jpg,AQUA SZUT TERRAHOT 80W/5W,"173,65"
Inne/Terrarystyka,"Naturalna, niepowtarzalna dekoracja każdego akwarium.",33,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/805933ddafd9bf4918048aeb7af202c9.jpg,ZOLUX KORZEŃ MOPANI DUŻY,"127,99"
Inne/Terrarystyka,Przewód grzewczy do terrarium.,39,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/aqua-szut-przewod-grzejny-do-terarium-15w.jpg,AQUA SZUT TERRAHOT 25W/5M,"117,45"
Inne/Terrarystyka,"Naturalna, niepowtarzalna dekoracja każdego akwarium.",69,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/zolux-korzen-mangrowca-2_5499.jpg,ZOLUX KORZEŃ MANGROWCA 15-25CM,"23,53"
Inne/Terrarystyka,"Naturalna, niepowtarzalna dekoracja każdego akwarium.",35,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/d57f17d3c3f093661c13a0b133a5c4ae.jpg,ZOLUX KORZEŃ MANGROWCA 25-40CM,"29,77"
Inne/Terrarystyka,Pokarm wspierający wzrost na dobry start.,40,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/RAFFY BABY GRAN 100ML.jpg,SERA RAFFY BABY GRAN,"24,00"
Inne/Terrarystyka,Odpowiednia różnorodność z mnóstwem smakowitych kiełży.,63,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/RAFFY I 100ML.jpg,SERA RAFFY I,"14,45"
Inne/Terrarystyka,Niezawodnie chroni przed niedoborami.,68,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/RAFFY MINERAL 250ML.jpg,SERA RAFFY MINERAL,"22,29"
Inne/Terrarystyka,Zbilansowany pokarm podstawowy dla żółwi wodnych.,46,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/RAFFY P 100ML.jpg,SERA RAFFY P,"11,69"
Inne/Terrarystyka,Wyjątkowy pokarm dla mięsożerców.,98,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/REPTIL CARNIVOR 250ML.jpg,SERA REPTIL CARNIVORE,"25,96"
Inne/Terrarystyka,Wyjątkowy pokarm dla roślinożerców.,11,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/REPTIL HERBIVOR 250ML.jpg,SERA REPTIL HERBIVOR,"27,12"
Inne/Terrarystyka,Pożywienie dla żółwi wodnych z całymi rybami.,89,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/anchovies tetra.jpg,Tetra Anchovies,"17,31"
Inne/Terrarystyka,Drewnojad to świetny,73,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/1239622982.jpg,Drewnojad,"11,49"
Inne/Terrarystyka,Wieloskładnikowe pałeczki dla żółwi lądowych.,16,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/biorept L_500.jpg,tropical biorept l,"23,13"
Inne/Terrarystyka,Wieloskładnikowe pałeczki dla żółwi wodnych.,79,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/biorept W_500.jpg,tropical biorept w,"32,01"
Inne/Terrarystyka,Kokosowe podłoże terrarystyczne.,100,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/bioterra.jpg,tropical bioterra,"10,74"
Inne/Terrarystyka,Kokosowe podłoże terrarystyczne.,24,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cocochips.jpg,tropical cocochips,"14,29"
Inne/Terrarystyka,"Preparat witaminowo-mineralny dla gadów, z beta-glukanem.",33,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/vigorept.jpg,tropical vigorept,"30,59"
Inne/Terrarystyka,Liofilizowane krewetki rzeczne dla gadów i płazów.,10,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/FD RIVER SHRIMP_250ml ter.jpg,tropical fd river shrimp,"22,22"
Inne/Terrarystyka,Wieloskładnikowy pokarm z krewetkami dla żółwi wodnych.,78,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/VITAREPT_100ml.jpg,tropical vitarept,"6,91"
Inne/Terrarystyka,Suszone świerszcze,63,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/CRICKETS_250.jpg,tropical crickets,"13,92"
Inne/Terrarystyka,Suszone larwy mącznika młynarka dla gadów.,98,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/MEAL WORMS_250ml.jpg,tropical meal worms,"8,74"
Inne/Terrarystyka,Suszone ryby dla gadów.,51,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DRIED FISH_250_Y.jpg,tropical dried fish,"4,79"
Inne/Terrarystyka,Liofilizowane larwy ochotki dla gadów i płazów.,63,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/FD BLOOD WORMS_250ml.jpg,tropical fd blood worms,"16,44"
Inne/Terrarystyka,Piasek do terrariów dla gadów i płazów.,13,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ZVP-4051.jpg,Vitapol piasek do terrariów,"5,14"
Inne/Terrarystyka,"Larwy mącznika to jeden z najbardziej popularnych i zarazem uniwersalnych owadów karmowych-dla gadów,ptaków i małych ssaków.",73,"https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/z14120241Q,Larwy-maczniaka-mlynarka.jpg",Mącznik młynarek-mączniak,"8,99"
Inne/Terrarystyka,Mieszanka paszowa pełnoporcjowa dla roślinożernych i wszystkożernych gadów.,91,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/csm_REPTILES-HERBIVORE-soft_250ml_ab8a0117b5.jpg,tropical soft line reptiles herbivore,"49,49"
Inne/Terrarystyka,Podłoże do terrarium br,16,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/aqua-szut-podoe-terracoco-brykietsss.jpg,aqua szut terracoco brykiet,"21,62"
Inne/Terrarystyka,Mieszanka paszowa pełnoporcjowa dla mięsożernych i wszystkożernych gadów.,20,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/csm_REPTILES-CARNIVORE-soft_250ml_952a742308.jpg,tropical soft line reptiles carnivore,"49,49"
Inne/Terrarystyka,Witaminy dla żywotnych gadów.,88,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/REPTILIN VITAMINS 15ML.jpg,SERA REPTIL VITAMINS,"34,46"
Inne/Terrarystyka,Podłoże do terrarium dyski,41,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/aqua-szut-podloze-terra-coco-dyski-550-gfdsf.jpg,aqua szut terracoco dyski,"28,81"
Inne/Terrarystyka,Minerały i witaminy dla mięsożerców.,23,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/REPTIMINERAL C.jpg,SERA REPTIMINERAL C,"47,32"
Inne/Terrarystyka,Minerały i witaminy dla roślinożerców.,30,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/REPTIMINERAL H.jpg,SERA REPTIMINERAL H,"49,42"
Inne/Terrarystyka,Czerwona punktowa lampa grzewcza.,25,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76095_VP_2.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA CZERWONA 50W,"30,60"
Inne/Terrarystyka,Czerwona punktowa lampa grzewcza.,76,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76097_VP_2.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA CZERWONA 100W,"39,46"
Inne/Terrarystyka,Czerwona punktowa lampa grzewcza.,77,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76094_VP_2.jpg,TRIXIE PUNKTOWA LAMPA GRZEWCZA CZERWONA 35W,"30,60"
Inne/Terrarystyka,Zawieszka porcelanowa do żarowki max 250W.,75,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76105-oprawka-porcelanowa-pro-socket-250w.jpg,TRIXIE OPRAWKA PORCELANOWA PRO SOCKET 250W,"57,20"
Inne/Terrarystyka,Osłonka na żarowkę do terrarium.,18,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/76128-76129-osłony-na-lampy-do-terrarium.gif,TRIXIE OSŁONA NA LAMPĘ DO TERRARIUM 15X22CM,"94,83"
Inne/Terrarystyka,Lampa grzewcza czerwona.,14,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/hobby-infrared-eco (1).jpg,hobby lampa grzewcza infrared eco 28w,"60,32"
Inne/Terrarystyka,Osłonka na lampę.,35,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/hobby-osłonka (1).jpg,hobby oprawa z osłoną na lampę do 150w,"159,97"
Inne/Terrarystyka,Miska do kąpieli i wodopój w jednym.,62,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-MISKA-L (2).jpg,hobby miska do kąpieli jasnozielona,"92,99"
Inne/Terrarystyka,Miska do kąpieli i wodopój w jednym.,57,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-MISKA-L (4).jpg,hobby miska do kąpieli marmur,"92,99"
Inne/Terrarystyka,Miska do kąpieli i wodopój w jednym.,41,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-MISKA-L (3).jpg,hobby miska do kąpieli ochra,"92,99"
Inne/Terrarystyka,Miska do kąpieli i wodopój w jednym.,25,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/HOBBY-MISKA-L (1).jpg,hobby miska do kąpieli szaro-beżowa,"92,99"
Inne/Terrarystyka,Narożna miska do terrarium.,74,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/hobby-miska-narożna.jpg,hobby miska narożna m,"86,37"
Inne/Terrarystyka,Narożna miska do terrarium.,16,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/hobby-miska-narożna.jpg,hobby miska narożna l,"106,37"
